11.948 3 WIND_INFO 3 42 0. 0. 0.
15.000 3 DOWNLINK_STATUS 0 15 63 3 9 0. 0. -1.39405378861e+12
15.376 3 DOWNLINK_STATUS 0 408 12552 524 23 0. 0. -1.39405379055e+12
16.004 3 DOWNLINK_STATUS 0 16 63 3 9 0. 0. -1.39405379361e+12
16.380 3 DOWNLINK_STATUS 0 409 12552 524 23 0. 0. -1.39405379055e+12
17.008 3 DOWNLINK_STATUS 0 17 63 3 9 0. 0. -1.39405379361e+12
17.262 3 DL_VALUE 6 0.
17.268 3 WP_MOVED 4 360417.3125 4813734. 260. 31
17.384 3 DOWNLINK_STATUS 0 410 12583 526 24 31. 2. -1.39405379055e+12
18.012 3 DOWNLINK_STATUS 0 18 63 3 9 0. 0. -1.39405379361e+12
18.388 3 DOWNLINK_STATUS 0 411 12583 526 24 0. 0. -1.39405379555e+12
19.016 3 DOWNLINK_STATUS 0 19 63 3 9 0. 0. -1.39405379361e+12
19.392 3 DOWNLINK_STATUS 0 412 12583 526 24 0. 0. -1.39405379555e+12
19.882 3 PPRZ_MODE 2 0 0 0 0 21
20.020 3 DOWNLINK_STATUS 0 20 63 3 9 0. 0. -1.39405379361e+12
20.256 3 NAVIGATION 0 2 0. 0. 0. 0. 0 0
20.261 3 DL_VALUE 7 1.
20.400 3 DOWNLINK_STATUS 0 413 12606 528 28 23. 2. -1.39405379555e+12
21.024 3 DOWNLINK_STATUS 0 21 89 4 22 26. 1. -1.39405379862e+12
21.408 3 DOWNLINK_STATUS 0 414 12606 528 28 0. 0. -1.39405379555e+12
21.949 3 WIND_INFO 3 42 0. 0. 0.
22.028 3 DOWNLINK_STATUS 0 22 89 4 22 0. 0. -1.39405379862e+12
22.417 3 DOWNLINK_STATUS 0 415 12606 528 28 0. 0. -1.39405380056e+12
23.032 3 DOWNLINK_STATUS 0 23 89 4 22 0. 0. -1.39405379862e+12
23.259 3 GPS 0 0 0 0 0 0 0 0 0 0 1
23.261 3 DL_VALUE 8 0.
23.265 3 WP_MOVED 5 360422. 4813583.5 260. 31
23.420 3 DOWNLINK_STATUS 0 416 12670 531 35 64. 3. -1.39405380056e+12
24.036 3 DOWNLINK_STATUS 0 24 89 4 22 0. 0. -1.39405379862e+12
24.428 3 DOWNLINK_STATUS 0 417 12670 531 35 0. 0. -1.39405380056e+12
25.040 3 DOWNLINK_STATUS 0 25 89 4 22 0. 0. -1.39405379862e+12
25.436 3 DOWNLINK_STATUS 0 418 12670 531 35 0. 0. -1.39405380056e+12
26.048 3 DOWNLINK_STATUS 0 26 89 4 22 0. 0. -1.39405380362e+12
26.264 3 DL_VALUE 0 235.
26.444 3 DOWNLINK_STATUS 0 419 12681 532 40 11. 1. -1.39405380056e+12
27.057 3 DOWNLINK_STATUS 0 27 89 4 22 0. 0. -1.39405380362e+12
27.453 3 DOWNLINK_STATUS 0 420 12681 532 40 0. 0. -1.39405380556e+12
28.065 3 DOWNLINK_STATUS 0 28 89 4 22 0. 0. -1.39405380362e+12
28.461 3 DOWNLINK_STATUS 0 422 12681 532 40 0. 0. -1.39405380556e+12
29.073 3 DOWNLINK_STATUS 0 29 89 4 22 0. 0. -1.39405380362e+12
29.469 3 DOWNLINK_STATUS 0 423 12681 532 40 0. 0. -1.39405380556e+12
30.081 3 DOWNLINK_STATUS 0 30 89 4 22 0. 0. -1.39405380362e+12
30.477 3 DOWNLINK_STATUS 0 424 12681 532 40 0. 0. -1.39405380556e+12
31.089 3 DOWNLINK_STATUS 0 31 89 4 22 0. 0. -1.39405380863e+12
31.481 3 DOWNLINK_STATUS 0 425 12681 532 40 0. 0. -1.39405380556e+12
31.949 3 WIND_INFO 3 42 0. 0. 0.
32.093 3 DOWNLINK_STATUS 0 32 89 4 22 0. 0. -1.39405380863e+12
32.485 3 DOWNLINK_STATUS 0 426 12681 532 40 0. 0. -1.39405381057e+12
33.097 3 DOWNLINK_STATUS 0 33 89 4 22 0. 0. -1.39405380863e+12
33.489 3 DOWNLINK_STATUS 0 427 12681 532 40 0. 0. -1.39405381057e+12
34.101 3 DOWNLINK_STATUS 0 34 89 4 22 0. 0. -1.39405380863e+12
34.493 3 DOWNLINK_STATUS 0 428 12681 532 40 0. 0. -1.39405381057e+12
35.105 3 DOWNLINK_STATUS 0 35 89 4 22 0. 0. -1.39405380863e+12
35.497 3 DOWNLINK_STATUS 0 429 12681 532 40 0. 0. -1.39405381057e+12
36.108 3 DOWNLINK_STATUS 0 36 89 4 22 0. 0. -1.39405381363e+12
